question_id,system,model,rater,accuracy,hallucination,completeness,interpretability
# accuracy: 0=incorrect / 0.5=partial / 1=correct,# hallucination: 0=none / 1=at least one unverifiable claim,# completeness: 0..1 fraction of question parts addressed,# interpretability: 0=no source cited for load-bearing claims / 1=all cited,,,,
Q001,llm_only,gpt4,rater_A,,,,
Q001,llm_only,gpt4,rater_B,,,,
Q001,llm_only,gpt4,rater_C,,,,
Q001,llm_only,llama3_8b,rater_A,,,,
Q001,llm_only,llama3_8b,rater_B,,,,
Q001,llm_only,llama3_8b,rater_C,,,,
Q001,standard_rag,gpt4,rater_A,,,,
Q001,standard_rag,gpt4,rater_B,,,,
Q001,standard_rag,gpt4,rater_C,,,,
Q001,standard_rag,llama3_8b,rater_A,,,,
Q001,standard_rag,llama3_8b,rater_B,,,,
Q001,standard_rag,llama3_8b,rater_C,,,,
Q001,kg_rag,gpt4,rater_A,,,,
Q001,kg_rag,gpt4,rater_B,,,,
Q001,kg_rag,gpt4,rater_C,,,,
Q001,kg_rag,llama3_8b,rater_A,,,,
Q001,kg_rag,llama3_8b,rater_B,,,,
Q001,kg_rag,llama3_8b,rater_C,,,,
Q002,llm_only,gpt4,rater_A,,,,
Q002,llm_only,gpt4,rater_B,,,,
Q002,llm_only,gpt4,rater_C,,,,
Q002,llm_only,llama3_8b,rater_A,,,,
Q002,llm_only,llama3_8b,rater_B,,,,
Q002,llm_only,llama3_8b,rater_C,,,,
Q002,standard_rag,gpt4,rater_A,,,,
Q002,standard_rag,gpt4,rater_B,,,,
Q002,standard_rag,gpt4,rater_C,,,,
Q002,standard_rag,llama3_8b,rater_A,,,,
Q002,standard_rag,llama3_8b,rater_B,,,,
Q002,standard_rag,llama3_8b,rater_C,,,,
Q002,kg_rag,gpt4,rater_A,,,,
Q002,kg_rag,gpt4,rater_B,,,,
Q002,kg_rag,gpt4,rater_C,,,,
Q002,kg_rag,llama3_8b,rater_A,,,,
Q002,kg_rag,llama3_8b,rater_B,,,,
Q002,kg_rag,llama3_8b,rater_C,,,,
Q003,llm_only,gpt4,rater_A,,,,
Q003,llm_only,gpt4,rater_B,,,,
Q003,llm_only,gpt4,rater_C,,,,
Q003,llm_only,llama3_8b,rater_A,,,,
Q003,llm_only,llama3_8b,rater_B,,,,
Q003,llm_only,llama3_8b,rater_C,,,,
Q003,standard_rag,gpt4,rater_A,,,,
Q003,standard_rag,gpt4,rater_B,,,,
Q003,standard_rag,gpt4,rater_C,,,,
Q003,standard_rag,llama3_8b,rater_A,,,,
Q003,standard_rag,llama3_8b,rater_B,,,,
Q003,standard_rag,llama3_8b,rater_C,,,,
Q003,kg_rag,gpt4,rater_A,,,,
Q003,kg_rag,gpt4,rater_B,,,,
Q003,kg_rag,gpt4,rater_C,,,,
Q003,kg_rag,llama3_8b,rater_A,,,,
Q003,kg_rag,llama3_8b,rater_B,,,,
Q003,kg_rag,llama3_8b,rater_C,,,,
Q004,llm_only,gpt4,rater_A,,,,
Q004,llm_only,gpt4,rater_B,,,,
Q004,llm_only,gpt4,rater_C,,,,
Q004,llm_only,llama3_8b,rater_A,,,,
Q004,llm_only,llama3_8b,rater_B,,,,
Q004,llm_only,llama3_8b,rater_C,,,,
Q004,standard_rag,gpt4,rater_A,,,,
Q004,standard_rag,gpt4,rater_B,,,,
Q004,standard_rag,gpt4,rater_C,,,,
Q004,standard_rag,llama3_8b,rater_A,,,,
Q004,standard_rag,llama3_8b,rater_B,,,,
Q004,standard_rag,llama3_8b,rater_C,,,,
Q004,kg_rag,gpt4,rater_A,,,,
Q004,kg_rag,gpt4,rater_B,,,,
Q004,kg_rag,gpt4,rater_C,,,,
Q004,kg_rag,llama3_8b,rater_A,,,,
Q004,kg_rag,llama3_8b,rater_B,,,,
Q004,kg_rag,llama3_8b,rater_C,,,,
Q005,llm_only,gpt4,rater_A,,,,
Q005,llm_only,gpt4,rater_B,,,,
Q005,llm_only,gpt4,rater_C,,,,
Q005,llm_only,llama3_8b,rater_A,,,,
Q005,llm_only,llama3_8b,rater_B,,,,
Q005,llm_only,llama3_8b,rater_C,,,,
Q005,standard_rag,gpt4,rater_A,,,,
Q005,standard_rag,gpt4,rater_B,,,,
Q005,standard_rag,gpt4,rater_C,,,,
Q005,standard_rag,llama3_8b,rater_A,,,,
Q005,standard_rag,llama3_8b,rater_B,,,,
Q005,standard_rag,llama3_8b,rater_C,,,,
Q005,kg_rag,gpt4,rater_A,,,,
Q005,kg_rag,gpt4,rater_B,,,,
