question_id,category,question,reference_answer
Q001,medication_management,Can Metformin be safely prescribed to a 68-year-old with Type 2 Diabetes and Stage 4 chronic kidney disease (eGFR 22)?,"No. Metformin is contraindicated at eGFR <30 due to lactic acidosis risk. The ADA recommends switching to a DPP-4 inhibitor (e.g., linagliptin) or GLP-1 receptor agonist; insulin remains an option. Reference: ADA Standards of Care 2024."
Q002,medication_management,[medication_management question Q002 — fill in actual question text from your evaluation set],[Reference answer for Q002 agreed by the three expert raters]
Q003,medication_management,[medication_management question Q003 — fill in actual question text from your evaluation set],[Reference answer for Q003 agreed by the three expert raters]
Q004,medication_management,[medication_management question Q004 — fill in actual question text from your evaluation set],[Reference answer for Q004 agreed by the three expert raters]
Q005,medication_management,[medication_management question Q005 — fill in actual question text from your evaluation set],[Reference answer for Q005 agreed by the three expert raters]
Q006,medication_management,[medication_management question Q006 — fill in actual question text from your evaluation set],[Reference answer for Q006 agreed by the three expert raters]
Q007,medication_management,[medication_management question Q007 — fill in actual question text from your evaluation set],[Reference answer for Q007 agreed by the three expert raters]
Q008,medication_management,[medication_management question Q008 — fill in actual question text from your evaluation set],[Reference answer for Q008 agreed by the three expert raters]
Q009,medication_management,[medication_management question Q009 — fill in actual question text from your evaluation set],[Reference answer for Q009 agreed by the three expert raters]
Q010,medication_management,[medication_management question Q010 — fill in actual question text from your evaluation set],[Reference answer for Q010 agreed by the three expert raters]
Q011,medication_management,[medication_management question Q011 — fill in actual question text from your evaluation set],[Reference answer for Q011 agreed by the three expert raters]
Q012,medication_management,[medication_management question Q012 — fill in actual question text from your evaluation set],[Reference answer for Q012 agreed by the three expert raters]
Q013,medication_management,[medication_management question Q013 — fill in actual question text from your evaluation set],[Reference answer for Q013 agreed by the three expert raters]
Q014,medication_management,[medication_management question Q014 — fill in actual question text from your evaluation set],[Reference answer for Q014 agreed by the three expert raters]
Q015,medication_management,[medication_management question Q015 — fill in actual question text from your evaluation set],[Reference answer for Q015 agreed by the three expert raters]
Q016,medication_management,[medication_management question Q016 — fill in actual question text from your evaluation set],[Reference answer for Q016 agreed by the three expert raters]
Q017,medication_management,[medication_management question Q017 — fill in actual question text from your evaluation set],[Reference answer for Q017 agreed by the three expert raters]
Q018,medication_management,[medication_management question Q018 — fill in actual question text from your evaluation set],[Reference answer for Q018 agreed by the three expert raters]
Q019,medication_management,[medication_management question Q019 — fill in actual question text from your evaluation set],[Reference answer for Q019 agreed by the three expert raters]
Q020,medication_management,[medication_management question Q020 — fill in actual question text from your evaluation set],[Reference answer for Q020 agreed by the three expert raters]
Q021,medication_management,[medication_management question Q021 — fill in actual question text from your evaluation set],[Reference answer for Q021 agreed by the three expert raters]
Q022,medication_management,[medication_management question Q022 — fill in actual question text from your evaluation set],[Reference answer for Q022 agreed by the three expert raters]
Q023,medication_management,[medication_management question Q023 — fill in actual question text from your evaluation set],[Reference answer for Q023 agreed by the three expert raters]
Q024,medication_management,[medication_management question Q024 — fill in actual question text from your evaluation set],[Reference answer for Q024 agreed by the three expert raters]
Q025,medication_management,[medication_management question Q025 — fill in actual question text from your evaluation set],[Reference answer for Q025 agreed by the three expert raters]
Q026,medication_management,[medication_management question Q026 — fill in actual question text from your evaluation set],[Reference answer for Q026 agreed by the three expert raters]
Q027,medication_management,[medication_management question Q027 — fill in actual question text from your evaluation set],[Reference answer for Q027 agreed by the three expert raters]
Q028,medication_management,[medication_management question Q028 — fill in actual question text from your evaluation set],[Reference answer for Q028 agreed by the three expert raters]
Q029,medication_management,[medication_management question Q029 — fill in actual question text from your evaluation set],[Reference answer for Q029 agreed by the three expert raters]
Q030,medication_management,[medication_management question Q030 — fill in actual question text from your evaluation set],[Reference answer for Q030 agreed by the three expert raters]
Q031,medication_management,[medication_management question Q031 — fill in actual question text from your evaluation set],[Reference answer for Q031 agreed by the three expert raters]
Q032,medication_management,[medication_management question Q032 — fill in actual question text from your evaluation set],[Reference answer for Q032 agreed by the three expert raters]
Q033,medication_management,[medication_management question Q033 — fill in actual question text from your evaluation set],[Reference answer for Q033 agreed by the three expert raters]
Q034,medication_management,[medication_management question Q034 — fill in actual question text from your evaluation set],[Reference answer for Q034 agreed by the three expert raters]
Q035,medication_management,[medication_management question Q035 — fill in actual question text from your evaluation set],[Reference answer for Q035 agreed by the three expert raters]
Q036,medication_management,[medication_management question Q036 — fill in actual question text from your evaluation set],[Reference answer for Q036 agreed by the three expert raters]
Q037,medication_management,[medication_management question Q037 — fill in actual question text from your evaluation set],[Reference answer for Q037 agreed by the three expert raters]
Q038,medication_management,[medication_management question Q038 — fill in actual question text from your evaluation set],[Reference answer for Q038 agreed by the three expert raters]
Q039,medication_management,[medication_management question Q039 — fill in actual question text from your evaluation set],[Reference answer for Q039 agreed by the three expert raters]
Q040,medication_management,[medication_management question Q040 — fill in actual question text from your evaluation set],[Reference answer for Q040 agreed by the three expert raters]
Q041,differential_diagnosis,[differential_diagnosis question Q041 — fill in actual question text from your evaluation set],[Reference answer for Q041 agreed by the three expert raters]
Q042,differential_diagnosis,[differential_diagnosis question Q042 — fill in actual question text from your evaluation set],[Reference answer for Q042 agreed by the three expert raters]
Q043,differential_diagnosis,[differential_diagnosis question Q043 — fill in actual question text from your evaluation set],[Reference answer for Q043 agreed by the three expert raters]
Q044,differential_diagnosis,[differential_diagnosis question Q044 — fill in actual question text from your evaluation set],[Reference answer for Q044 agreed by the three expert raters]
Q045,differential_diagnosis,[differential_diagnosis question Q045 — fill in actual question text from your evaluation set],[Reference answer for Q045 agreed by the three expert raters]
Q046,differential_diagnosis,[differential_diagnosis question Q046 — fill in actual question text from your evaluation set],[Reference answer for Q046 agreed by the three expert raters]
Q047,differential_diagnosis,[differential_diagnosis question Q047 — fill in actual question text from your evaluation set],[Reference answer for Q047 agreed by the three expert raters]
Q048,differential_diagnosis,[differential_diagnosis question Q048 — fill in actual question text from your evaluation set],[Reference answer for Q048 agreed by the three expert raters]
Q049,differential_diagnosis,[differential_diagnosis question Q049 — fill in actual question text from your evaluation set],[Reference answer for Q049 agreed by the three expert raters]
Q050,differential_diagnosis,[differential_diagnosis question Q050 — fill in actual question text from your evaluation set],[Reference answer for Q050 agreed by the three expert raters]
Q051,differential_diagnosis,[differential_diagnosis question Q051 — fill in actual question text from your evaluation set],[Reference answer for Q051 agreed by the three expert raters]
Q052,differential_diagnosis,[differential_diagnosis question Q052 — fill in actual question text from your evaluation set],[Reference answer for Q052 agreed by the three expert raters]
Q053,differential_diagnosis,[differential_diagnosis question Q053 — fill in actual question text from your evaluation set],[Reference answer for Q053 agreed by the three expert raters]
Q054,differential_diagnosis,[differential_diagnosis question Q054 — fill in actual question text from your evaluation set],[Reference answer for Q054 agreed by the three expert raters]
Q055,differential_diagnosis,[differential_diagnosis question Q055 — fill in actual question text from your evaluation set],[Reference answer for Q055 agreed by the three expert raters]
Q056,differential_diagnosis,[differential_diagnosis question Q056 — fill in actual question text from your evaluation set],[Reference answer for Q056 agreed by the three expert raters]
Q057,differential_diagnosis,[differential_diagnosis question Q057 — fill in actual question text from your evaluation set],[Reference answer for Q057 agreed by the three expert raters]
Q058,differential_diagnosis,[differential_diagnosis question Q058 — fill in actual question text from your evaluation set],[Reference answer for Q058 agreed by the three expert raters]
Q059,differential_diagnosis,[differential_diagnosis question Q059 — fill in actual question text from your evaluation set],[Reference answer for Q059 agreed by the three expert raters]
Q060,differential_diagnosis,[differential_diagnosis question Q060 — fill in actual question text from your evaluation set],[Reference answer for Q060 agreed by the three expert raters]
Q061,differential_diagnosis,[differential_diagnosis question Q061 — fill in actual question text from your evaluation set],[Reference answer for Q061 agreed by the three expert raters]
